Level,Date,ApplicationName,ApplicationPresentation,Event,EventPresentation,User,UserName,Computer,Metadata,MetadataPresentation,Comment,Data,DataPresentation,TransactionStatus,TransactionID,Connection,Session,ServerName,Port,SyncPort
Information,2024-12-10T14:41:38,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73607,,0,0
Warning,2024-12-10T14:41:44,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33312,73609,app01,1564,0
Information,2024-12-10T14:41:44,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.АвтоматическоеСозданиеРегламентныхЗаданийПоШаблонам,Регламентное задание. Автоматическое создание регламентных заданий по шаблонам,,Автоматическое создание регламентных заданий по шаблонам,,NotApplicable,,33312,73609,app01,1564,0
Warning,2024-12-10T14:41:44,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33311,73608,app01,1564,0
Information,2024-12-10T14:41:44,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,ScheduledJob.ОтправкаСерверныхОповещенийКлиентам,Регламентное задание. Отправка серверных оповещений клиентам,,,,NotApplicable,,33311,73608,app01,1564,0
Information,2024-12-10T14:41:44,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.АвтоматическоеСозданиеРегламентныхЗаданийПоШаблонам,Регламентное задание. Автоматическое создание регламентных заданий по шаблонам,,Автоматическое создание регламентных заданий по шаблонам,,NotApplicable,,33312,73609,app01,1564,0
Information,2024-12-10T14:41:44,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73609,,0,0
Information,2024-12-10T14:41:44,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,Constant.СостояниеОтправкиСерверныхОповещений,Константа. Состояние отправки серверных оповещений,,,,Committed,10.12.2024 14:41:44 (1438270916),33311,73608,app01,1564,0
Information,2024-12-10T14:41:44,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,Constant.СостояниеОтправкиСерверныхОповещений,Константа. Состояние отправки серверных оповещений,,,,Committed,10.12.2024 14:41:44 (1438271337),33311,73608,app01,1564,0
Information,2024-12-10T14:41:45,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,ScheduledJob.ОтправкаСерверныхОповещенийКлиентам,Регламентное задание. Отправка серверных оповещений клиентам,,,,NotApplicable,,33311,73608,app01,1564,0
Information,2024-12-10T14:41:45,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,,,,,,NotApplicable,,0,73608,,0,0
Warning,2024-12-10T14:41:52,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33327,73610,app01,1564,0
Information,2024-12-10T14:41:52,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,33327,73610,app01,1564,0
Information,2024-12-10T14:41:53,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.TelegramЖурналВыполнения,Регистр сведений. Журнал выполнения Telegram,,,,Committed,10.12.2024 14:41:53 (1438273292),33327,73610,app01,1564,0
Information,2024-12-10T14:41:53,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,33327,73610,app01,1564,0
Information,2024-12-10T14:41:53,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73610,,0,0
Warning,2024-12-10T14:42:01,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33332,73611,app01,1564,0
Information,2024-12-10T14:42:01,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ОбновлениеИндексаППД,Регламентное задание. Обновление индекса ППД,,,,NotApplicable,,33332,73611,app01,1564,0
Information,2024-12-10T14:42:01,BackgroundJob,Фоновое задание,Полнотекстовое индексирование,Полнотекстовое индексирование,00000000-0000-0000-0000-000000000000,,,,,"Запуск процедуры ""Обновление индекса ППД"".",,,NotApplicable,,33332,73611,app01,1564,0
Information,2024-12-10T14:42:02,BackgroundJob,Фоновое задание,Полнотекстовое индексирование,Полнотекстовое индексирование,00000000-0000-0000-0000-000000000000,,,,,"Успешное завершение процедуры ""Обновление индекса ППД"".",,,NotApplicable,,33332,73611,app01,1564,0
Information,2024-12-10T14:42:02,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ОбновлениеИндексаППД,Регламентное задание. Обновление индекса ППД,,,,NotApplicable,,33332,73611,app01,1564,0
Information,2024-12-10T14:42:02,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73611,,0,0
Warning,2024-12-10T14:42:03,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33342,73612,app01,1564,0
Information,2024-12-10T14:42:03,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,Поиск в динамическом списке: Справочник.КарточкиНоменклатуры.Форма.ФормаСписка.Список,,NotApplicable,,33342,73612,app01,1564,0
Information,2024-12-10T14:42:04,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,Поиск в динамическом списке: Справочник.КарточкиНоменклатуры.Форма.ФормаСписка.Список,,NotApplicable,,33342,73612,app01,1564,0
Information,2024-12-10T14:42:04,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,,,NotApplicable,,0,73612,,0,0
Warning,2024-12-10T14:42:06,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33346,73613,app01,1564,0
Information,2024-12-10T14:42:06,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,Поиск в динамическом списке: Справочник.КарточкиНоменклатуры.Форма.ФормаСписка.Список,,NotApplicable,,33346,73613,app01,1564,0
Information,2024-12-10T14:42:07,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,Поиск в динамическом списке: Справочник.КарточкиНоменклатуры.Форма.ФормаСписка.Список,,NotApplicable,,33346,73613,app01,1564,0
Information,2024-12-10T14:42:07,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,,,NotApplicable,,0,73613,,0,0
Warning,2024-12-10T14:42:07,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33347,73614,app01,1564,0
Information,2024-12-10T14:42:07,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,33347,73614,app01,1564,0
Information,2024-12-10T14:42:08,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.TelegramЖурналВыполнения,Регистр сведений. Журнал выполнения Telegram,,,,Committed,10.12.2024 14:42:08 (1438280201),33347,73614,app01,1564,0
Information,2024-12-10T14:42:08,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,33347,73614,app01,1564,0
Information,2024-12-10T14:42:08,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73614,,0,0
Warning,2024-12-10T14:42:10,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33348,73615,app01,1564,0
Information,2024-12-10T14:42:10,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ИзвлечениеТекста,Регламентное задание. Извлечение текста файлов для поиска,,,,NotApplicable,,33348,73615,app01,1564,0
Information,2024-12-10T14:42:10,BackgroundJob,Фоновое задание,Файлы.Извлечение текста,Файлы.Извлечение текста,00000000-0000-0000-0000-000000000000,,,,,Начато регламентное извлечения текста,,,NotApplicable,,33348,73615,app01,1564,0
Information,2024-12-10T14:42:10,BackgroundJob,Фоновое задание,Файлы.Извлечение текста,Файлы.Извлечение текста,00000000-0000-0000-0000-000000000000,,,,,Закончено регламентное извлечение текста,,,NotApplicable,,33348,73615,app01,1564,0
Information,2024-12-10T14:42:10,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ИзвлечениеТекста,Регламентное задание. Извлечение текста файлов для поиска,,,,NotApplicable,,33348,73615,app01,1564,0
Information,2024-12-10T14:42:10,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73615,,0,0
Warning,2024-12-10T14:42:22,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33358,73616,app01,1564,0
Information,2024-12-10T14:42:22,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,33358,73616,app01,1564,0
Information,2024-12-10T14:42:23,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.TelegramЖурналВыполнения,Регистр сведений. Журнал выполнения Telegram,,,,Committed,10.12.2024 14:42:23 (1438284333),33358,73616,app01,1564,0
Information,2024-12-10T14:42:23,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,33358,73616,app01,1564,0
Information,2024-12-10T14:42:23,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73616,,0,0
Information,2024-12-10T14:42:29,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,83c27c3f-e449-49d1-8a94-9023c0787f68,ШигаповаЛР,app01,,,,ЦентрМониторингаСлужебный.ПриПериодическомПолученииДанныхКлиентаНаСервере,,NotApplicable,,33360,73617,app01,1564,0
Information,2024-12-10T14:42:29,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,83c27c3f-e449-49d1-8a94-9023c0787f68,ШигаповаЛР,app01,,,,ЦентрМониторингаСлужебный.ПриПериодическомПолученииДанныхКлиентаНаСервере,,NotApplicable,,33360,73617,app01,1564,0
Information,2024-12-10T14:42:29,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,83c27c3f-e449-49d1-8a94-9023c0787f68,ШигаповаЛР,app01,,,,,,NotApplicable,,0,73617,,0,0
Warning,2024-12-10T14:42:36,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33362,73618,app01,1564,0
Information,2024-12-10T14:42:36,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,Поиск в динамическом списке: Справочник.КарточкиНоменклатуры.Форма.ФормаСписка.Список,,NotApplicable,,33362,73618,app01,1564,0
Information,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,,,NotApplicable,,0,73618,,0,0
Warning,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33364,73619,app01,1564,0
Warning,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33363,73620,app01,1564,0
Information,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,33364,73619,app01,1564,0
Information,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,Поиск в динамическом списке: Справочник.КарточкиНоменклатуры.Форма.ФормаСписка.Список,,NotApplicable,,33362,73618,app01,1564,0
Information,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,Поиск в динамическом списке: Справочник.КарточкиНоменклатуры.Форма.ФормаСписка.Список,,NotApplicable,,33363,73620,app01,1564,0
Information,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.TelegramЖурналВыполнения,Регистр сведений. Журнал выполнения Telegram,,,,Committed,10.12.2024 14:42:37 (1438289303),33364,73619,app01,1564,0
Information,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,33364,73619,app01,1564,0
Information,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73619,,0,0
Information,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,,,NotApplicable,,0,73620,,0,0
Warning,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33365,73621,app01,1564,0
Information,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,Поиск в динамическом списке: Справочник.КарточкиНоменклатуры.Форма.ФормаСписка.Список,,NotApplicable,,33365,73621,app01,1564,0
Warning,2024-12-10T14:42:37,BackgroundJob,Фоновое задание,_$Job$_.Cancel,Фоновое задание. Отмена,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,Поиск в динамическом списке: Справочник.КарточкиНоменклатуры.Форма.ФормаСписка.Список,,NotApplicable,,33363,73620,app01,1564,0
Information,2024-12-10T14:42:38,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,Поиск в динамическом списке: Справочник.КарточкиНоменклатуры.Форма.ФормаСписка.Список,,NotApplicable,,33365,73621,app01,1564,0
Information,2024-12-10T14:42:38,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,0b57dee2-f75b-4050-b4b6-785e9dc24a98,НикулинВВ,app01,,,,,,NotApplicable,,0,73621,,0,0
Warning,2024-12-10T14:42:44,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33367,73622,app01,1564,0
Information,2024-12-10T14:42:44,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.АвтоматическоеСозданиеРегламентныхЗаданийПоШаблонам,Регламентное задание. Автоматическое создание регламентных заданий по шаблонам,,Автоматическое создание регламентных заданий по шаблонам,,NotApplicable,,33367,73622,app01,1564,0
Warning,2024-12-10T14:42:44,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33368,73623,app01,1564,0
Information,2024-12-10T14:42:44,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,ScheduledJob.ОтправкаСерверныхОповещенийКлиентам,Регламентное задание. Отправка серверных оповещений клиентам,,,,NotApplicable,,33368,73623,app01,1564,0
Information,2024-12-10T14:42:45,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.АвтоматическоеСозданиеРегламентныхЗаданийПоШаблонам,Регламентное задание. Автоматическое создание регламентных заданий по шаблонам,,Автоматическое создание регламентных заданий по шаблонам,,NotApplicable,,33367,73622,app01,1564,0
Information,2024-12-10T14:42:45,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,Constant.СостояниеОтправкиСерверныхОповещений,Константа. Состояние отправки серверных оповещений,,,,Committed,10.12.2024 14:42:45 (1438294412),33368,73623,app01,1564,0
Information,2024-12-10T14:42:45,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73622,,0,0
Information,2024-12-10T14:42:45,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,Constant.СостояниеОтправкиСерверныхОповещений,Константа. Состояние отправки серверных оповещений,,,,Committed,10.12.2024 14:42:45 (1438295055),33368,73623,app01,1564,0
Information,2024-12-10T14:42:45,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,ScheduledJob.ОтправкаСерверныхОповещенийКлиентам,Регламентное задание. Отправка серверных оповещений клиентам,,,,NotApplicable,,33368,73623,app01,1564,0
Information,2024-12-10T14:42:45,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,,,,,,NotApplicable,,0,73623,,0,0
Warning,2024-12-10T14:42:52,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33384,73624,app01,1564,0
Information,2024-12-10T14:42:52,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,33384,73624,app01,1564,0
Information,2024-12-10T14:42:53,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.TelegramЖурналВыполнения,Регистр сведений. Журнал выполнения Telegram,,,,Committed,10.12.2024 14:42:53 (1438297010),33384,73624,app01,1564,0
Information,2024-12-10T14:42:53,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,33384,73624,app01,1564,0
Information,2024-12-10T14:42:53,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73624,,0,0
Warning,2024-12-10T14:43:01,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33390,73625,app01,1564,0
Information,2024-12-10T14:43:01,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ОбновлениеИндексаППД,Регламентное задание. Обновление индекса ППД,,,,NotApplicable,,33390,73625,app01,1564,0
Information,2024-12-10T14:43:02,BackgroundJob,Фоновое задание,Полнотекстовое индексирование,Полнотекстовое индексирование,00000000-0000-0000-0000-000000000000,,,,,"Запуск процедуры ""Обновление индекса ППД"".",,,NotApplicable,,33390,73625,app01,1564,0
Information,2024-12-10T14:43:02,BackgroundJob,Фоновое задание,Полнотекстовое индексирование,Полнотекстовое индексирование,00000000-0000-0000-0000-000000000000,,,,,"Успешное завершение процедуры ""Обновление индекса ППД"".",,,NotApplicable,,33390,73625,app01,1564,0
Information,2024-12-10T14:43:02,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ОбновлениеИндексаППД,Регламентное задание. Обновление индекса ППД,,,,NotApplicable,,33390,73625,app01,1564,0
Information,2024-12-10T14:43:02,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73625,,0,0
Warning,2024-12-10T14:43:07,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,33405,73626,app01,1564,0
Information,2024-12-10T14:43:07,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,33405,73626,app01,1564,0
Information,2024-12-10T14:43:08,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.TelegramЖурналВыполнения,Регистр сведений. Журнал выполнения Telegram,,,,Committed,10.12.2024 14:43:08 (1438301799),33405,73626,app01,1564,0
Information,2024-12-10T14:43:08,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,33405,73626,app01,1564,0
